cohort_month,cohort_size,total_customers,retention_month_1,retention_month_3,retention_month_6,total_revenue,avg_revenue_per_customer
2016-09,4,4,,,,267.36,66.84
2016-10,321,321,,,0.003115264797507788,52438.69,163.3604049844237
2016-12,1,1,1.0,,,21.8,21.8
2017-01,764,764,0.003926701570680628,0.0013089005235602095,0.005235602094240838,131484.87,172.10061518324608
2017-02,1752,1752,0.00228310502283105,0.001141552511415525,0.00228310502283105,266662.57,152.20466324200913
2017-03,2636,2636,0.004931714719271623,0.0037936267071320183,0.0015174506828528073,409955.92000000004,155.52197268588773
2017-04,2352,2352,0.005952380952380952,0.0017006802721088435,0.003401360544217687,404750.56000000006,172.08782312925172
2017-05,3596,3596,0.005005561735261402,0.00389321468298109,0.004171301446051168,560505.03,155.8690294771969
2017-06,3139,3139,0.004778591908251036,0.00414144632048423,0.003822873526600828,467984.25,149.08705001592864
2017-07,3894,3894,0.005136106831022085,0.0025680534155110425,0.0030816640986132513,543816.24,139.6549152542373
2017-08,4184,4184,0.006931166347992352,0.0026290630975143404,0.0028680688336520078,611723.08,146.20532504780113
2017-09,4130,4130,0.006779661016949152,0.0029055690072639223,0.0021791767554479417,667462.39,161.61316949152544
2017-10,4470,4470,0.006935123042505592,0.0008948545861297539,0.0022371364653243847,697646.3899999999,156.0730178970917
2017-11,7304,7304,0.00547645125958379,0.0017798466593647317,0.001095290251916758,1052043.24,144.0365881708653
2017-12,5487,5487,0.0025514853289593585,0.0034627300893019866,0.0016402405686167304,766731.4999999999,139.73601239292873
2018-01,7025,7025,0.003416370106761566,0.0028469750889679717,0.001708185053380783,981426.56,139.70484839857653
2018-02,6451,6451,0.0038753681599751977,0.0029452798015811503,0.002015191443187103,882610.61,136.81764222601146
2018-03,6965,6965,0.004594400574300072,0.002871500358937545,,1019543.35,146.38095477386935
2018-04,6711,6711,0.00581135449262405,0.0023841454328714052,,1014837.35,151.21998956936372
2018-05,6622,6622,0.005285412262156448,0.0021141649048625794,,1018924.8300000001,153.86965116279072
2018-06,5940,5940,0.004208754208754209,,,885826.7599999999,149.12908417508416
2018-07,6071,6071,0.007247570416735299,,,907886.5,149.5448031625762
2018-08,6271,6271,0.001116249402009249,,,864700.46,137.88876734173178
2018-09,5,5,,,,0.0,0.0
2018-10,1,1,,,,0.0,0.0
