product_category_name,volume,avg_price,median_price,price_std,min_price,max_price,total_revenue,avg_freight,avg_weight,price_premium_index,price_range,coefficient_variation,demand_index,value_score
papelaria,2617,91.34,79.0,83.65,2.29,1693.0,239028.99,18.66,2756.21,0.76,1690.71,0.916,0.221,0.291
pc_gamer,10,167.59,129.99,48.89,129.99,239.0,1675.94,14.86,1978.4,1.39,109.00999999999999,0.292,0.001,0.001
pcs,220,1103.69,1100.0,647.38,34.5,6729.0,242811.61,48.01,6963.23,9.13,6694.5,0.587,0.019,0.002
perfumaria,3560,115.94,81.35,101.39,4.99,689.9,412754.81,15.83,477.28,0.96,684.91,0.875,0.301,0.314
pet_shop,2028,109.93,89.7,141.35,2.9,2498.0,222932.3,20.31,3043.49,0.91,2495.1,1.286,0.172,0.189
portateis_casa_forno_e_cafe,78,627.51,618.0,602.21,10.19,2899.0,48945.71,36.98,5176.82,5.19,2888.81,0.96,0.007,0.001
portateis_cozinha_e_preparadores_de_alimentos,15,264.57,34.9,411.06,17.42,1099.0,3968.53,20.65,2838.33,2.19,1081.58,1.554,0.001,0.0
relogios_presentes,6201,202.09,129.0,257.69,8.99,3999.9,1253143.3,16.83,579.23,1.67,3990.9100000000003,1.275,0.524,0.314
seguros_e_servicos,2,141.64,141.64,58.89,100.0,183.29,283.29,20.61,812.5,1.17,83.28999999999999,0.416,0.0,0.0
sinalizacao_e_seguranca,201,107.39,74.9,124.18,4.5,740.0,21584.81,32.52,3852.53,0.89,735.5,1.156,0.017,0.019
tablets_impressao_imagem,87,90.12,99.0,91.28,14.9,889.99,7840.31,14.95,304.66,0.75,875.09,1.013,0.007,0.009
telefonia,4721,71.89,29.99,135.9,5.0,2428.0,339399.16,15.71,261.8,0.6,2423.0,1.89,0.399,0.665
telefonia_fixa,271,227.68,64.98,422.01,6.0,1790.0,61701.26,17.58,564.51,1.88,1784.0,1.854,0.023,0.012
utilidades_domesticas,7355,90.63,59.8,139.85,3.06,6735.0,666587.0,20.97,3208.7,0.75,6731.94,1.543,0.622,0.829
