antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'bebes'}),frozenset({'brinquedos'}),0.023700928489982082,0.026795895096921322,0.0015474833034696204,0.06529209621993126,2.436645463186371,1.0,0.0009123957099524267,1.0411852739955731,0.6039130110251018,0.03161397670549085,0.03955614339177472,0.06152142804917536
frozenset({'brinquedos'}),frozenset({'bebes'}),0.026795895096921322,0.023700928489982082,0.0015474833034696204,0.057750759878419454,2.4366454631863714,1.0,0.0009123957099524267,1.0361367565380513,0.6058335645792866,0.03161397670549085,0.03487643528716393,0.06152142804917536
frozenset({'bebes'}),frozenset({'cama_mesa_banho'}),0.023700928489982082,0.14285714285714285,0.001384590324157029,0.058419243986254296,0.4089347079037801,1.0,-0.0020012566029832682,0.9103232533889469,-0.5968500416446573,0.008382642998027613,-0.09851088201603664,0.03405568812767675
frozenset({'bebes'}),frozenset({'cool_stuff'}),0.023700928489982082,0.02313080306238801,0.0016289297931259162,0.06872852233676975,2.971298581869222,1.0,0.0010807082838283993,1.0489628646082845,0.6795528489196628,0.03603603603603603,0.04667740514014165,0.06957552877401868
frozenset({'cool_stuff'}),frozenset({'bebes'}),0.02313080306238801,0.023700928489982082,0.0016289297931259162,0.07042253521126761,2.971298581869222,1.0,0.0010807082838283993,1.050261122381989,0.6791562447890611,0.03603603603603603,0.04785583443096219,0.06957552877401868
frozenset({'esporte_lazer'}),frozenset({'beleza_saude'}),0.07818863007004398,0.06979964163544551,0.0011402508551881414,0.014583333333333334,0.20893134966938934,1.0,-0.004317287503667347,0.943966537029569,-0.8042062079873467,0.00776483638380477,-0.05935958614248606,0.015459694671334111
frozenset({'beleza_saude'}),frozenset({'esporte_lazer'}),0.06979964163544551,0.07818863007004398,0.0011402508551881414,0.01633605600933489,0.20893134966938934,1.0,-0.004317287503667347,0.9371202183036444,-0.8027757973756724,0.00776483638380477,-0.06709894895894912,0.015459694671334111
frozenset({'casa_conforto'}),frozenset({'cama_mesa_banho'}),0.007085844600097735,0.14285714285714285,0.00350219905522072,0.4942528735632184,3.459770114942529,1.0,0.0024899355409210436,1.6948051948051948,0.716037183358673,0.0239154616240267,0.40996168582375475,0.2593841334748817
frozenset({'cama_mesa_banho'}),frozenset({'casa_conforto'}),0.14285714285714285,0.007085844600097735,0.00350219905522072,0.024515393386545042,3.459770114942529,1.0,0.0024899355409210436,1.0178675795274277,0.8294573643410852,0.0239154616240267,0.01755393322943155,0.2593841334748817
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.12575338002932074,0.14285714285714285,0.005701254275940707,0.04533678756476684,0.3173575129533679,1.0,-0.01226351429967654,0.89784842023648,-0.7110183623989267,0.02168525402726146,-0.11377374784110535,0.042622783748175894
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.14285714285714285,0.12575338002932074,0.005701254275940707,0.03990877993158495,0.3173575129533679,1.0,-0.01226351429967654,0.9105870376654225,-0.7150610583446404,0.02168525402726146,-0.09819265884106576,0.042622783748175894
frozenset({'utilidades_domesticas'}),frozenset({'cama_mesa_banho'}),0.07729271868382473,0.14285714285714285,0.0016289297931259162,0.02107481559536354,0.1475237091675448,1.0,-0.009412887161706187,0.8755958788251577,-0.8623087740023797,0.007454342154304882,-0.1420793818054092,0.016238662073622477
frozenset({'cama_mesa_banho'}),frozenset({'utilidades_domesticas'}),0.14285714285714285,0.07729271868382473,0.0016289297931259162,0.011402508551881414,0.1475237091675448,1.0,-0.009412887161706187,0.9333498105124403,-0.8708288482238965,0.007454342154304882,-0.07140965663341867,0.016238662073622477
frozenset({'casa_construcao'}),frozenset({'moveis_decoracao'}),0.008714774393223651,0.12575338002932074,0.0010588043655318457,0.12149532710280377,0.9661396542540315,1.0,-3.710797060900114e-05,0.9951530674134329,-0.03414786011219816,0.007936507936507938,-0.004870539764465752,0.06495750811098737
frozenset({'ferramentas_jardim'}),frozenset({'moveis_decoracao'}),0.056768203290438184,0.12575338002932074,0.001384590324157029,0.024390243902439025,0.19395298875268546,1.0,-0.00575420311780718,0.8961027854699464,-0.8150206845879853,0.007643884892086331,-0.11594341208923549,0.017700303298369774
frozenset({'moveis_decoracao'}),frozenset({'ferramentas_jardim'}),0.12575338002932074,0.056768203290438184,0.001384590324157029,0.011010362694300519,0.19395298875268546,1.0,-0.00575420311780718,0.9537327400913972,-0.8261981865284973,0.007643884892086331,-0.0485117664139002,0.017700303298369774
frozenset({'moveis_decoracao'}),frozenset({'utilidades_domesticas'}),0.12575338002932074,0.07729271868382473,0.0019547157517510994,0.0155440414507772,0.20110615482891725,1.0,-0.007765104874395291,0.9372763436527465,-0.8196219016944406,0.009720534629404616,-0.06692119861129468,0.020416910082606723
frozenset({'utilidades_domesticas'}),frozenset({'moveis_decoracao'}),0.07729271868382473,0.12575338002932074,0.0019547157517510994,0.025289778714436245,0.20110615482891725,1.0,-0.007765104874395291,0.8969297755158645,-0.8115079585158892,0.009720534629404616,-0.11491448639315742,0.020416910082606723
